UHJpbmNlIFBoYW50b20gMTAwWCAzMDU=,100,11.4,58,27.0,20
UHJpbmNlIFBoYW50b20gMTAwWCAyOTA=,100,10.8,58,27.0,20
UHJpbmNlIFBoYW50b20gMTAwWCAxOHgyMA==,100,11.8,59,27.0,20
UHJpbmNlIFBoYW50b20gTzMgMTAwWA==,100,11.5,60,27.0,19
UHJpbmNlIFBoYW50b20gUHJvIDkzUCAoMTR4MTgp,93,12.1,63,27.0,19
UHJpbmNlIFBoYW50b20gUHJvIDEwMCAoMTh4MjAp,100,11.9,55,27.0,19
UHJpbmNlIFBoYW50b20gUHJvIDkzUCAyMDE4,93,12.2,61,27.0,19
UHJpbmNlIFBoYW50b20gUHJvIDEwMFA=,100,11.5,59,27.0,18
UHJpbmNlIFBoYW50b20gUHJvIDEwMA==,100,11.4,54,27.0,19
UHJpbmNlIFBoYW50b20gMTAw,100,11.6,56,27.0,19
UHJpbmNlIFRleHRyZW1lIFRvdXIgOTU=,95,11.9,64,27.0,22
UHJpbmNlIFRleHRyZW1lIFRvdXIgMTAwUA==,100,11.5,66,27.0,23
UHJpbmNlIFRleHRyZW1lIFRvdXIgMTAwICgzMTAp,100,11.5,65,27.0,23
UHJpbmNlIFRleHRyZW1lIFRvdXIgMTAwICgyOTAp,100,10.8,65,27.0,23
UHJpbmNlIFRleHRyZW1lIFRvdXIgMTAwTCAoMjYwKQ==,100,9.8,65,27.0,25
UHJpbmNlIFRleHRyZW1lIFRvdXIgOTU=,95,11.8,60,27.0,22
UHJpbmNlIFRleHRyZW1lIFRvdXIgMTAwVA==,100,10.8,62,27.0,23
UHJpbmNlIFRleHRyZW1lIEJlYXN0IFBybyAxMDAgTG9uZ2JvZHk=,100,12.0,67,27.5,25
UHJpbmNlIFRleHRyZW1lIEJlYXN0IE8zIDk4,98,11.2,69,27.0,23
